Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_M,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,KMeans_Cluster
45.0,3.0000000000000004,39.0,5.0,1.0,3.0,29562.02190285678,777.0,10235.431573548542,1.108,1257.9209295597798,42.00000000000001,1.067,0.061,1,1,0,0,0
49.00000000000001,5.0,44.0,6.000000000000001,1.0,2.0,27610.419535965902,864.0,6698.435504553521,1.108,1274.508170386302,33.0,1.067,0.105,0,0,1,0,2
51.0,3.0000000000000004,36.0,4.0,1.0,1.0,25341.342861741636,0.0,3259.4244488588893,1.108,1836.8016492941533,28.0,1.067,0.0,1,1,0,0,0
40.0,4.0,34.0,3.0000000000000004,4.0,1.0,25290.328958212474,2517.0,787.0268687722191,1.108,1257.9209295597798,28.0,1.067,0.76,0,0,0,1,1
40.0,3.0000000000000004,22.0,5.0,1.0,1.0,25965.55875994578,0.0,4420.792650088021,1.108,1257.9209295597798,28.0,1.067,0.0,1,1,0,0,0
44.0,2.0,36.0,3.0000000000000004,1.0,2.0,25627.501063619096,1247.0,2658.1934363339496,1.108,1257.9209295597798,28.0,0.846,0.311,1,1,0,0,0
51.0,4.0,45.99999999999999,6.000000000000001,1.0,3.0,37777.86770087713,2264.0,22770.110281067744,1.108,1311.845316625606,30.999999999999996,0.722,0.066,1,1,0,0,0
33.0,0.0,27.0,2.0,2.0,2.0,35914.699165248865,1396.0000000000002,20329.036038307517,1.108,1509.6773487145115,36.0,0.714,0.048,1,0,0,1,0
37.0,3.0000000000000004,36.0,5.0,2.0,1.0,33452.31103858707,2517.0,15672.473133524276,1.108,1330.9625275322512,28.0,1.067,0.113,1,0,1,0,2
48.0,2.0,36.0,6.000000000000001,3.0,3.0,29116.766742403815,1677.0,8766.054428457011,1.108,1417.6900215500864,32.0,0.882,0.144,1,0,1,0,2
42.0,5.0,30.999999999999996,5.0,3.0,2.0,26919.70220332032,1467.0,4914.361814629091,0.831,1257.9209295597798,42.00000000000001,0.68,0.217,1,0,0,1,0
60.00000000000001,1.0,49.0,6.000000000000001,2.0,3.0,27988.557012147558,1587.0,6793.8480534046475,1.108,1296.536894535528,28.0,1.067,0.174,1,1,0,0,0
56.0,1.0,36.0,3.0000000000000004,4.0,1.0,29157.88630839352,0.0,10114.039227436257,1.108,1510.6232242574213,28.0,1.067,0.0,1,0,1,0,2
35.0,3.0000000000000004,30.0,5.0,1.0,3.0,27742.063514448902,1666.0,6274.9577989322315,1.108,1293.6651133135372,33.0,1.067,0.195,1,0,0,1,0
56.99999999999999,2.0,48.0,5.0,2.0,2.0,24861.140273746485,679.9999999999999,1712.9327306526798,1.108,1539.9207042566961,29.000000000000004,0.611,0.279,0,1,0,0,1
44.0,4.0,37.0,5.0,1.0,2.0,25735.134826084784,972.0,3117.177800996993,1.108,1329.0517211731453,28.0,1.067,0.23,1,0,0,1,0
48.0,4.0,36.0,6.000000000000001,2.0,3.0,36365.123604450135,2362.0,20506.15389956593,1.108,1635.0438794560316,28.0,0.929,0.078,1,0,1,0,2
41.0,3.0000000000000004,34.0,4.0,4.0,1.0,29920.7244149441,1291.0,10479.895666337521,0.653,1257.9209295597798,28.0,1.067,0.095,1,1,0,0,0
60.00000000000001,1.0,49.0,2.0,2.0,3.0,25231.930853295635,2517.0,669.5223576046928,1.108,1317.5826151794001,30.0,1.067,0.788,1,1,0,0,0
47.0,1.0,42.0,5.0,2.0,1.0,32926.54962068779,1800.0,15253.330895581092,0.9059999999999999,1257.9209295597798,28.0,0.929,0.086,1,0,0,0,0
60.00000000000001,0.0,49.0,2.0,3.0,3.0,24366.0144944077,0.0,1409.2573965128302,1.047,1257.9209295597798,28.0,0.6,0.0,0,1,0,0,1
41.0,3.0000000000000004,33.0,4.0,2.0,1.0,25848.157071849106,679.9999999999999,3596.2806676205337,1.108,1257.9209295597798,28.0,1.067,0.152,1,1,0,0,0
47.0,4.0,36.0,3.0000000000000004,3.0,2.0,24888.712780109978,1560.0,919.7168043643734,0.573,1257.9209295597798,28.0,0.3677,0.626,0,0,1,0,2
53.99999999999999,2.0,42.0,4.0,2.0,3.0,29358.851556799134,0.0,10459.9589727653,1.075,1257.9209295597798,28.0,0.75,0.0,1,1,0,0,0
41.0,3.0000000000000004,28.000000000000004,6.000000000000001,1.0,2.0,27388.47291264766,1669.0,5616.665500533311,0.797,1257.9209295597798,28.0,0.833,0.215,0,0,1,0,2
59.0,1.0,45.99999999999999,4.0,1.0,2.0,30444.516142772267,1374.0,11330.059235280081,0.921,1257.9209295597798,28.0,1.067,0.093,1,0,0,1,0
60.00000000000001,1.0,49.0,3.0000000000000004,3.0,2.0,28486.69709651913,1010.0,8160.327983170099,0.843,1852.585012481973,40.0,1.0,0.099,1,1,0,0,0
47.0,4.0,42.0,6.000000000000001,1.0,1.0,25998.413810179918,1362.0,3263.973953881229,0.739,1257.9209295597798,37.99999999999999,0.9,0.285,1,1,0,0,0
53.0,3.0000000000000004,33.0,3.0000000000000004,2.0,3.0,25016.918033894603,1811.0,929.4533124550153,0.977,1257.9209295597798,28.0,1.067,0.658,1,1,0,0,0
53.0,2.0,48.0,2.0,4.0,1.0,24868.528020462007,1690.0,752.7960258907217,1.108,1564.456015464002,28.0,1.067,0.69,1,1,0,0,0
41.0,4.0,36.0,4.0,1.0,2.0,27911.38804511335,2517.0,5876.599044451383,1.108,1557.8536487432125,28.0,1.067,0.282,1,1,0,0,0
53.0,2.0,38.0,5.0,2.0,3.0,24966.38296252433,1489.9999999999998,1141.0294088168232,1.108,1389.1447535069494,28.0,1.0,0.562,0,1,0,0,1
58.0,0.0,49.0,6.000000000000001,2.0,2.0,29503.855849810447,1696.0,9442.063487280679,0.519,1274.508170386302,28.0,0.714,0.135,1,1,0,0,0
55.0,1.0,36.0,4.0,2.0,1.0,25390.8240027537,1914.0,1569.8872936387152,0.51,1385.3352902383049,43.00000000000001,0.483,0.544,0,0,1,0,2
55.0,3.0000000000000004,36.0,6.000000000000001,2.0,3.0,25154.882435047617,2298.0,729.3038102300042,1.108,1827.5108396176292,37.0,1.067,0.757,0,1,0,0,1
42.0,4.0,36.0,2.0,3.0,3.0,30713.446730852844,0.0,12757.15112326784,0.865,1257.9209295597798,28.0,1.067,0.0,0,1,0,0,1
56.99999999999999,1.0,49.0,3.0000000000000004,3.0,2.0,25464.423538923584,886.0,2679.483758724557,1.108,1439.544067009291,28.0,0.556,0.241,0,0,0,1,1
45.0,3.0000000000000004,41.0,2.0,2.0,2.0,37073.759938470736,578.0,22565.123491719856,1.042,1257.9209295597798,28.0,0.4739999999999999,0.018,1,0,1,0,2
51.0,2.0,44.0,4.0,1.0,1.0,26667.41438290697,2204.0,3785.8957310204405,0.803,1328.0962418118913,28.0,0.556,0.355,1,1,0,0,0
50.0,1.0,43.0,3.0000000000000004,2.0,3.0,31476.728038998423,2517.0,12307.821963305812,1.108,1714.7097640154104,33.0,1.067,0.145,0,0,1,0,2
